name,taxid,total_length,total_gap_length,scaffold_count,scaffold_N50,contig_count,contig_N50
GCF_000175055.1,630527,1820250,0,0,0,70,45830
GCF_000175075.1,406124,4137575,0,0,0,50,213695
GCF_000175095.2,153948,3337023,0,0,0,0,0
GCF_000175115.2,443143,5277406,0,0,0,0,0
GCF_000175135.1,427081,0,0,0,0,0,0
GCF_000175155.1,427082,0,0,0,0,0,0
GCF_000175175.1,596319,2425653,0,0,0,77,120673
GCF_000175195.1,637911,2425264,0,0,0,197,67819
GCF_000175215.2,573065,4308776,0,0,0,0,0
GCF_000175235.1,573060,4842094,0,0,0,638,16083
GCF_000175255.2,555217,2143461,0,0,0,0,0
GCF_000175275.1,596320,2204114,0,0,0,31,137644
GCF_000175295.2,509193,2344824,0,0,0,0,0
GCF_000175315.3,562973,0,0,0,0,0,0
GCF_000175335.1,536233,3999201,0,0,0,6,3863095
GCF_000175355.1,655225,1927702,0,0,0,58,85101
GCF_000175375.1,553207,0,0,0,0,0,0
GCF_000175415.3,634502,0,0,0,0,0,0
GCF_000175435.1,656913,1865669,0,0,0,41,77084
GCF_000175455.1,656912,1802170,0,0,0,32,131858
GCF_000175475.1,553594,2887954,0,0,0,86,73277
GCF_000175495.1,553601,2820632,0,0,0,45,131900
GCF_000175515.1,658599,1076624,0,0,0,1,1076624
GCF_000175535.1,658600,1088736,113,0,0,6,236211
GCF_000175555.1,555311,2680466,0,0,0,506,24718
GCF_000175575.2,637389,2987045,0,0,0,0,0
GCF_000175595.1,536227,5592854,0,0,0,252,41085
GCF_000175615.1,553201,2255158,0,0,0,25,172461
GCF_000175635.1,553206,2372261,0,0,0,37,139979
GCF_000175655.1,553219,2072007,0,0,0,33,141033
GCF_000175675.1,596318,3283705,0,0,0,82,98516
GCF_000175695.1,661513,4059686,0,0,0,18,359098
GCF_000175715.1,572545,3454608,0,0,0,110,76023
GCF_000175735.1,570506,5376914,0,0,0,316,97108
GCF_000175755.1,637388,5408690,0,0,0,247,124227
GCF_000175775.1,588857,2450641,0,0,0,8,913929
GCF_000175795.2,588581,0,0,0,0,0,0
GCF_000175815.1,589861,2204850,0,0,0,90,61159
GCF_000175835.1,533240,3879030,0,0,0,93,91518
GCF_000175855.1,533247,3186511,0,0,0,47,127752
GCF_000175875.1,553220,2255573,0,0,0,33,203752
GCF_000175895.1,596324,2514590,0,0,0,79,114980
GCF_000175935.2,592316,6312783,0,0,0,0,0
GCF_000175955.1,553574,2715851,0,0,0,32,244433
GCF_000175975.1,671074,4350709,0,0,0,195,69000
GCF_000175995.1,671076,4366551,0,0,0,74,175090
GCF_000176015.1,371731,3514342,0,0,0,59,127138
GCF_000176035.2,536019,6884444,0,0,0,0,0
GCF_000176055.1,674977,5144683,0,0,0,188,64497
GCF_000176075.1,159254,2971261,0,0,0,95,101996
GCF_000176095.1,638315,0,0,0,0,0,0
GCF_000176115.2,591167,7656104,0,0,0,0,0
GCF_000176135.1,675814,5680628,0,0,0,20,919232
GCF_000176155.1,675813,3815101,0,0,0,11,877075
GCF_000176175.1,675811,4958664,0,0,0,24,1355700
GCF_000176195.1,680649,2808969,0,0,0,339,25697
GCF_000176215.1,675810,4008705,0,0,0,28,300667
GCF_000176235.1,675816,4698244,0,0,0,5,2361996
GCF_000176255.1,669261,0,0,0,0,0,0
GCF_000176275.1,669262,0,0,0,0,0,0
GCF_000176295.1,565665,0,0,0,0,0,0
GCF_000176335.1,596323,2287284,0,0,0,208,31754
GCF_000176355.1,685035,3273334,0,0,0,68,212719
GCF_000176375.1,675806,4313453,0,0,0,3,2971217
GCF_000176395.1,675807,4011779,0,0,0,45,207019
GCF_000176415.1,675820,4347971,0,0,0,8,2296284
GCF_000176435.1,675808,3947707,0,0,0,60,130625
GCF_000176475.1,682147,0,0,0,0,0,0
GCF_000176495.1,682148,0,0,0,0,0,0
GCF_000176515.1,675812,4002786,0,0,0,13,1078387
GCF_000176535.2,656414,0,0,0,0,0,0
GCF_000176555.2,656417,0,0,0,0,0,0
GCF_000176575.2,656419,0,0,0,0,0,0
GCF_000176595.2,656440,0,0,0,0,0,0
GCF_000176615.2,656437,0,0,0,0,0,0
GCF_000176655.2,656444,0,0,0,0,0,0
GCF_000176675.2,656408,0,0,0,0,0,0
GCF_000176695.2,656393,0,0,0,0,0,0
GCF_000176715.1,675815,4082591,0,0,0,16,615635
GCF_000176735.1,546267,2030958,0,0,0,139,38534
GCF_000176755.2,546263,2275949,0,0,0,153,74651
GCF_000176775.1,596328,2452380,0,0,0,55,197639
GCF_000176795.1,675817,5046328,27,0,0,9,3236779
GCF_000176835.2,682634,5403731,0,0,0,0,0
GCF_000176855.2,643561,5482170,0,0,0,0,0
GCF_000176875.1,596312,2622687,0,0,0,112,45684
GCF_000176895.2,376219,6166364,170,0,0,698,55028
GCF_000176915.2,643562,3629109,0,0,0,0,0
GCF_000176935.3,640510,7253494,0,0,0,0,0
GCF_000176955.1,596330,1699205,0,0,0,71,71515
GCF_000176975.2,575598,0,0,0,0,0,0
GCF_000176995.2,575603,0,0,0,0,0,0
GCF_000177015.3,552398,0,0,0,0,0,0
GCF_000177035.2,575604,0,0,0,0,0,0
GCF_000177055.1,679189,2796067,0,0,0,72,102109
GCF_000177075.1,679190,3033961,0,0,0,118,74520
GCF_000177115.1,596317,2518045,0,0,0,33,276877
GCF_000177135.1,693750,0,0,0,0,0,0
GCF_000177155.1,693748,0,0,0,0,0,0
GCF_000177175.2,1609288,0,0,0,0,0,0
GCF_000177195.2,862751,7414440,0,0,0,0,0
GCF_000177215.2,644968,0,0,0,0,0,0
GCF_000177235.2,649639,4681672,0,0,0,0,0
GCF_000177255.2,652103,5404117,0,0,0,0,0
GCF_000177315.1,553171,2424432,0,0,0,121,48627
GCF_000177335.1,352165,2562014,0,0,0,140,37387
GCF_000177355.1,679191,0,0,0,0,0,0
GCF_000177375.1,679192,1419583,0,0,0,16,205243
GCF_000177395.1,679194,2481963,0,0,0,7,1592577
GCF_000177435.1,686660,2163473,0,0,0,19,416853
GCF_000177455.1,673189,0,0,0,0,0,0
GCF_000177475.1,673198,0,0,0,0,0,0
GCF_000177495.1,673265,0,0,0,0,0,0
GCF_000177515.1,673266,0,0,0,0,0,0
GCF_000177535.2,662755,2601311,0,0,0,0,0
GCF_000177555.1,699218,1726197,0,0,0,34,156177
GCF_000177575.1,679188,2068805,0,0,0,187,22694
GCF_000177615.2,656024,5340989,0,0,0,0,0
GCF_000177635.2,653733,2928377,0,0,0,0,0
GCF_000177655.2,648999,6962533,0,0,0,0,0
GCF_000177675.1,102897,9352740,0,0,0,396,48407
GCF_000177695.1,710094,0,0,0,0,0,0
GCF_000177715.1,710095,0,0,0,0,0,0
GCF_000177735.1,710096,0,0,0,0,0,0
GCF_000177755.1,713605,1287456,0,0,0,7,752082
GCF_000177775.1,595501,2084124,0,0,0,113,46159
GCF_000177795.2,675514,4377068,31944,63,255581,174,58629
GCF_000177815.2,675515,4371565,33381,64,222464,185,54964
GCF_000177835.2,675516,4376086,44427,55,494897,177,60803
GCF_000177855.2,675517,4365679,36911,58,450920,184,60018
GCF_000177875.2,675518,4364362,42845,41,629600,155,64937
GCF_000177895.2,675519,4376842,49328,41,926694,191,58396
GCF_000177915.2,675520,4375659,55115,46,510515,170,58463
GCF_000177935.2,675521,4407182,54195,52,495711,184,58608
GCF_000177955.2,675522,4417971,77234,56,358031,201,51434
GCF_000177995.1,553590,2930317,0,0,0,59,188764
GCF_000178015.1,553577,2968236,0,0,0,98,161999
GCF_000178035.1,553580,2916471,0,0,0,48,216324
GCF_000178055.1,679195,2500083,0,0,0,62,182206
GCF_000178075.1,686659,2510934,0,0,0,37,578180
GCF_000178095.1,596329,2083092,0,0,0,73,65057
GCF_000178115.2,663278,3008576,0,0,0,0,0
GCF_000178135.1,714961,4649417,0,0,0,113,180785
GCF_000178155.2,246199,0,0,0,0,0,0
GCF_000178175.1,791166,0,0,0,0,0,0
GCF_000178195.1,702446,0,0,0,0,0,0
GCF_000178215.1,702447,0,0,0,0,0,0
GCF_000178235.1,791161,0,0,0,0,0,0
GCF_000178255.1,702450,0,0,0,0,0,0
GCF_000178275.1,702443,0,0,0,0,0,0
GCF_000178295.1,702444,0,0,0,0,0,0
GCF_000178315.1,702430,0,0,0,0,0,0
GCF_000178335.1,525256,0,0,0,0,0,0
GCF_000178355.1,585528,0,0,0,0,0,0
GCF_000178375.1,747682,0,0,0,0,0,0
GCF_000178395.2,634956,3993793,0,0,0,0,0
GCF_000178415.2,243261,0,0,0,0,0,0
GCF_000178435.1,655812,0,0,0,0,0,0
GCF_000178455.1,585530,0,0,0,0,0,0
GCF_000178475.1,585524,0,0,0,0,0,0
GCF_000178495.1,228399,0,0,0,0,0,0
GCF_000178515.1,871925,0,0,0,0,0,0
GCF_000178535.1,754255,0,0,0,0,0,0
GCF_000178555.1,754256,0,0,0,0,0,0
GCF_000178575.1,754258,0,0,0,0,0,0
GCF_000178595.1,754259,0,0,0,0,0,0
GCF_000178615.1,754260,0,0,0,0,0,0
GCF_000178635.1,754261,0,0,0,0,0,0
GCF_000178655.1,754262,0,0,0,0,0,0
GCF_000178675.1,761194,0,0,0,0,0,0
GCF_000178695.1,702431,0,0,0,0,0,0
GCF_000178735.1,702433,0,0,0,0,0,0
GCF_000178755.1,702434,0,0,0,0,0,0
GCF_000178795.1,702436,0,0,0,0,0,0
GCF_000178815.2,595536,0,0,0,0,0,0
GCF_000178835.2,642492,4714237,0,0,0,0,0
GCF_000178855.1,485913,13661586,45,0,0,12,2281316
GCF_000178875.2,693973,5368767,0,0,0,0,0
GCF_000178895.1,525283,0,0,0,0,0,0
GCF_000178915.1,563045,5534155,0,0,0,112,127470
GCF_000178935.2,585535,1566655,0,0,0,0,0
GCF_000178955.2,682795,6237577,0,0,0,0,0
GCF_000178975.2,1198114,5503984,0,0,0,0,0
GCF_000178995.1,666684,3971756,0,0,0,10,612490
GCF_000179015.2,596153,4835713,0,0,0,0,0
GCF_000179035.2,768700,742431,0,0,0,0,0
GCF_000179055.1,752555,0,0,0,0,0,0
GCF_000179075.1,679202,0,0,0,0,0,0
GCF_000179095.1,796392,0,0,0,0,0,0
GCF_000179115.1,679204,0,0,0,0,0,0
GCF_000179135.1,679205,0,0,0,0,0,0
GCF_000179155.1,679206,0,0,0,0,0,0
GCF_000179175.1,679207,0,0,0,0,0,0
GCF_000179195.1,683219,7443083,0,0,0,254,59002
GCF_000179215.1,682181,7217762,0,0,0,1275,9224
GCF_000179235.1,232348,2686395,0,0,0,94,60200
GCF_000179255.1,232363,2427308,0,0,0,78,63410
GCF_000179275.1,754254,0,0,0,0,0,0
GCF_000179295.1,754256,0,0,0,0,0,0
GCF_000179315.1,88274,0,0,0,0,0,0
GCF_000179335.1,768724,0,0,0,0,0,0
GCF_000179375.1,784613,0,0,0,0,0,0
GCF_000179395.2,858619,3433007,0,0,0,0,0
GCF_000179435.1,863369,0,0,0,0,0,0
GCF_000179455.1,863368,0,0,0,0,0,0
GCF_000179475.1,768728,0,0,0,0,0,0
GCF_000179495.1,768713,0,0,0,0,0,0
GCF_000179515.1,869728,0,0,0,0,0,0
GCF_000179535.2,693971,0,0,0,0,0,0
GCF_000179555.1,596151,0,0,0,0,0,0
GCF_000179575.2,647113,1677455,0,0,0,0,0
GCF_000179595.2,509191,0,0,0,0,0,0
GCF_000179615.1,717606,0,0,0,0,0,0
GCF_000179635.2,697329,4482087,0,0,0,0,0
GCF_000179655.1,517433,0,0,0,0,0,0
GCF_000179675.1,866771,0,0,0,0,0,0
GCF_000179695.1,866773,0,0,0,0,0,0
GCF_000179715.1,866774,0,0,0,0,0,0
GCF_000179735.1,866776,0,0,0,0,0,0
GCF_000179755.1,866778,0,0,0,0,0,0
GCF_000179775.1,744979,0,0,0,0,0,0
GCF_000179795.1,753642,0,0,0,0,0,0
GCF_000179835.1,882856,0,0,0,0,0,0
GCF_000179875.1,886872,0,0,0,0,0,0
GCF_000179915.2,401053,5095226,0,0,0,0,0
GCF_000179935.1,879301,0,0,0,0,0,0
GCF_000179955.1,879302,0,0,0,0,0,0
GCF_000179975.1,879303,0,0,0,0,0,0
GCF_000179995.1,879304,0,0,0,0,0,0
GCF_000180015.1,908339,0,0,0,0,0,0
GCF_000180035.1,905067,0,0,0,0,0,0
GCF_000180075.1,904306,0,0,0,0,0,0
GCF_000180095.1,585891,2878428,0,0,0,1,2878428
GCF_000180155.1,871541,2872429,0,0,0,771,6780
GCF_000180175.2,891974,4092852,0,0,0,0,0
GCF_000180435.1,465515,2320592,0,0,0,134,28506
GCF_000180455.1,272129,6676705,0,0,0,377,34005
GCF_000180475.1,869310,2097342,0,0,0,52,78864
GCF_000180495.1,869313,2084938,0,0,0,26,410559
GCF_000180515.1,869309,2129934,0,0,0,0,0
GCF_000180535.1,869308,2050133,0,0,0,22,1870795
GCF_000180555.1,869305,2057037,221,0,0,39,262190
GCF_000180575.1,869801,2136756,0,0,0,37,131229
GCF_000180595.1,869214,2023964,0,0,0,44,85732
GCF_000180615.1,31033,391484725,40506884,7091,928938,30861,52883
GCF_000181275.1,42254,0,0,0,0,0,0
GCF_000181295.1,30611,0,0,0,0,0,0
GCF_000181335.2,9685,0,0,0,0,0,0
GCF_000181455.2,412420,4825390,0,0,0,10,1267303
GCF_000181475.1,344747,7777997,0,0,0,125,151937
GCF_000181495.1,161544,3948965,0,0,0,186,48258
GCF_000181515.1,161528,2970874,0,0,0,19,364893
GCF_000181535.1,391591,5701826,0,0,0,158,95350
GCF_000181555.2,445983,1469834,0,0,0,32,908814
GCF_000181575.2,445984,1321434,0,0,0,20,170966
GCF_000181595.1,405917,5240573,0,0,0,102,256990
GCF_000181615.1,405533,5908750,0,0,0,37,554099
GCF_000181635.1,451707,5348704,0,0,0,71,213404
GCF_000181655.1,451709,5925780,0,0,0,66,218340
GCF_000181675.2,405536,5504728,0,0,0,56,223714
GCF_000181695.1,425265,8958118,0,0,0,67,654612
GCF_000181715.2,476212,1295451,0,0,0,25,169491
GCF_000181735.1,444447,5629932,0,0,0,7,4531846
GCF_000181755.1,444448,5634850,0,0,0,8,3026459
GCF_000181775.1,444449,5617728,0,0,0,4,4146557
GCF_000181795.1,6334,0,0,0,0,0,0
GCF_000181835.1,486624,5392168,0,0,0,63,151690
GCF_000181855.2,498737,1427907,0,0,0,54,36967
GCF_000181875.2,498741,1281782,0,0,0,16,179974
GCF_000181895.2,498742,1252559,0,0,0,49,178845
GCF_000181915.1,486619,5392880,0,0,0,60,170206
GCF_000181935.1,486621,5374836,0,0,0,46,218283
GCF_000181975.1,396596,7689995,0,0,0,629,24355
GCF_000181995.1,486620,5407149,0,0,0,57,182151
GCF_000182015.1,396597,7855467,0,0,0,706,20649
GCF_000182055.1,486622,5291908,0,0,0,60,155716
GCF_000182195.1,557724,7246736,0,0,0,21,727423
GCF_000182235.1,520465,3284951,0,0,0,60,118848
GCF_000182255.1,513051,6621721,0,0,0,34,476359
GCF_000182275.1,513052,6554147,0,0,0,37,369540
GCF_000182295.1,513053,6564368,0,0,0,27,509860
GCF_000182345.1,563771,0,0,0,0,0,0
GCF_000182365.1,563772,0,0,0,0,0,0
GCF_000182385.1,563773,0,0,0,0,0,0
GCF_000182425.1,595497,3389269,0,0,0,7,673909
GCF_000182445.1,595498,0,0,0,0,0,0
GCF_000182465.1,627611,0,0,0,0,0,0
GCF_000182485.1,377628,4629080,254,0,0,31,463061
GCF_000182505.1,547047,4719608,280,0,0,41,373283
GCF_000182525.1,547046,4770886,223,0,0,12,626879
GCF_000182545.1,545431,4750606,0,0,0,37,207343
GCF_000182565.1,645134,0,0,0,0,0,0
GCF_000182585.2,536230,7348945,0,0,0,2,4098576
GCF_000182605.1,632245,4758422,0,0,0,13,757653
GCF_000182625.1,641140,3277197,0,0,0,9,1059616
GCF_000182645.1,641118,4725392,0,0,0,4,2604449
GCF_000182685.1,673519,5930024,0,0,0,140,103373
GCF_000182725.1,470735,0,0,0,0,0,0
GCF_000182745.2,634177,3513191,0,0,0,0,0
GCF_000182805.1,771870,39955017,140806,0,0,5670,76243
GCF_000182835.1,767455,2131976,0,0,0,0,0
GCF_000182855.2,695560,2126674,10,0,0,4,2036842
GCF_000182875.1,767463,1831949,0,0,0,0,0
GCF_000182895.1,240176,36192590,0,0,0,68,3468139
GCF_000182925.2,367110,0,0,0,0,0,0
GCF_000182965.3,237561,14282666,6259,0,0,88,334280
GCF_000182985.1,578460,7860219,0,0,0,5465,2902
GCF_000183005.1,670897,0,0,0,0,0,0
GCF_000183115.1,887061,2862391,0,0,0,0,0
GCF_000183135.1,694427,3685504,0,0,0,0,0
GCF_000183155.1,693978,2155121,0,0,0,0,0
GCF_000183185.1,907287,925576,0,0,0,0,0
GCF_000183205.1,908337,0,0,0,0,0,0
GCF_000183225.1,713603,641799,0,0,0,0,0
GCF_000183245.1,713602,641770,0,0,0,0,0
GCF_000183285.1,713601,641716,0,0,0,0,0
GCF_000183305.1,713600,641771,0,0,0,0,0
GCF_000183325.1,927655,0,0,0,0,0,0
GCF_000183345.1,685038,4894879,0,0,0,0,0
GCF_000183365.1,880447,1008951,0,0,0,0,0
GCF_000183385.1,289397,1003404,0,0,0,0,0
GCF_000183405.1,768670,2216552,0,0,0,0,0
GCF_000183425.1,643867,4516490,0,0,0,0,0
GCF_000183445.1,910314,0,0,0,0,0,0
GCF_000183465.1,910313,0,0,0,0,0,0
GCF_000183485.2,908612,0,0,0,0,0,0
GCF_000183525.2,633697,0,0,0,0,0,0
GCF_000183545.2,867903,0,0,0,0,0,0
GCF_000183565.1,908338,0,0,0,0,0,0
GCF_000183585.1,908340,0,0,0,0,0,0
GCF_000183605.1,910312,0,0,0,0,0,0
GCF_000183625.1,879310,0,0,0,0,0,0
GCF_000183645.1,931281,5731541,0,0,0,0,0
GCF_000183665.1,658172,1258278,0,0,0,0,0
GCF_000183685.1,435837,0,0,0,0,0,0
GCF_000183705.1,435838,0,0,0,0,0,0
GCF_000183725.1,709032,2819357,0,0,0,0,0
GCF_000183745.1,670487,2439291,0,0,0,0,0
GCF_000183765.1,903507,0,0,0,0,0,0
GCF_000183785.1,198215,0,0,0,0,0,0
GCF_000183805.2,7209,0,0,0,0,0,0
GCF_000183825.1,930942,0,0,0,0,0,0
GCF_000183905.1,702455,0,0,0,0,0,0
GCF_000183945.1,702453,0,0,0,0,0,0
GCF_000183985.1,873517,0,0,0,0,0,0
GCF_000184005.1,747367,0,0,0,0,0,0
GCF_000184025.1,747368,0,0,0,0,0,0
GCF_000184045.1,747369,0,0,0,0,0,0
GCF_000184065.1,234831,4037671,0,0,0,0,0
GCF_000184105.1,658429,0,0,0,0,0,0
GCF_000184135.1,913239,0,0,0,0,0,0
GCF_000184155.1,101020,0,0,0,0,0,0
GCF_000184185.1,566546,5008864,0,0,0,0,0
GCF_000184205.1,718271,1724586,0,0,0,0,0
GCF_000184285.1,1423822,0,0,0,0,0,0
GCF_000184325.1,903510,4916408,0,0,0,0,0
GCF_000184345.1,869211,2560222,0,0,0,0,0
GCF_000184365.1,706437,0,0,0,0,0,0
GCF_000184435.1,278137,5783292,0,0,0,0,0
GCF_000184455.1,5062,37117784,100,0,0,29,2324132
GCF_000184475.1,933263,0,0,0,0,0,0
GCF_000184495.1,933264,0,0,0,0,0,0
GCF_000184535.1,936140,0,0,0,0,0,0
GCF_000184685.1,710696,4024382,0,0,0,0,0
GCF_000184705.1,644966,2844696,0,0,0,0,0
GCF_000184745.1,595537,6550056,0,0,0,0,0
GCF_000184765.1,670892,0,0,0,0,0,0
GCF_000184785.2,7463,0,0,0,0,0,0
GCF_000184925.1,637887,3561619,0,0,0,0,0
GCF_000184945.1,873513,0,0,0,0,0,0
GCF_000185025.1,909420,0,0,0,0,0,0
GCF_000185045.1,930946,0,0,0,0,0,0
GCF_000185145.2,873533,0,0,0,0,0,0
GCF_000185185.1,907238,1675918,0,0,0,0,0
GCF_000185205.1,907240,1712468,0,0,0,0,0
GCF_000185225.1,907237,1640673,0,0,0,0,0
GCF_000185245.1,907239,1679829,0,0,0,0,0
GCF_000185265.1,888049,0,0,0,0,0,0
GCF_000185285.1,888052,0,0,0,0,0,0
GCF_000185305.1,888057,0,0,0,0,0,0
GCF_000185345.1,888826,0,0,0,0,0,0
GCF_000185365.1,888064,0,0,0,0,0,0
GCF_000185385.1,887325,0,0,0,0,0,0
GCF_000185405.1,888801,0,0,0,0,0,0
GCF_000185425.1,887326,0,0,0,0,0,0
GCF_000185445.1,887899,0,0,0,0,0,0
GCF_000185465.1,941770,0,0,0,0,0,0
GCF_000185485.1,525377,0,0,0,0,0,0
GCF_000185505.1,887929,0,0,0,0,0,0
GCF_000185525.1,658089,0,0,0,0,0,0
GCF_000185545.1,665951,0,0,0,0,0,0
GCF_000185585.1,457393,0,0,0,0,0,0
GCF_000185605.1,665953,0,0,0,0,0,0
GCF_000185625.1,665943,0,0,0,0,0,0
GCF_000185645.1,562982,0,0,0,0,0,0
GCF_000185665.1,469594,0,0,0,0,0,0
GCF_000185685.2,469613,0,0,0,0,0,0
GCF_000185705.2,563192,0,0,0,0,0,0
GCF_000185725.2,679197,0,0,0,0,0,0
GCF_000185745.1,937774,1695860,0,0,0,0,0
GCF_000185805.1,648996,1759526,0,0,0,0,0
GCF_000185825.1,665937,0,0,0,0,0,0
GCF_000185845.1,888832,0,0,0,0,0,0
GCF_000185885.1,937773,2617381,0,0,0,0,0
GCF_000185905.1,765698,6690028,0,0,0,0,0
GCF_000185925.1,412597,0,0,0,0,0,0
GCF_000185945.1,367775,18374760,13056,0,0,21,1265488
GCF_000185965.1,743721,3419049,0,0,0,0,0
GCF_000185985.2,859654,722585,0,0,0,0,0
GCF_000186005.1,943945,1118751,0,0,0,0,0
GCF_000186085.1,535026,4292969,185,0,0,84,3196197
GCF_000186105.1,469593,0,0,0,0,0,0
GCF_000186125.1,665958,0,0,0,0,0,0
GCF_000186145.1,665959,0,0,0,0,0,0
GCF_000186165.1,435832,0,0,0,0,0,0
GCF_000186185.1,562971,0,0,0,0,0,0
GCF_000186205.1,764544,0,0,0,0,0,0
GCF_000186225.1,693979,3998906,0,0,0,0,0
GCF_000186245.1,749222,2101285,0,0,0,0,0
GCF_000186265.1,688270,4888353,0,0,0,0,0
GCF_000186305.1,176946,0,0,0,0,0,0
GCF_000186325.1,910954,0,0,0,0,0,0
GCF_000186345.1,575540,5529304,0,0,0,0,0
GCF_000186365.1,765177,1314639,0,0,0,0,0
GCF_000186385.1,709986,3498530,0,0,0,0,0
GCF_000186405.1,945704,2137435,0,0,0,0,0
GCF_000186425.1,887898,0,0,0,0,0,0
GCF_000186445.1,888745,0,0,0,0,0,0
GCF_000186465.1,888833,0,0,0,0,0,0
GCF_000186485.1,914128,0,0,0,0,0,0
GCF_000186505.1,742821,0,0,0,0,0,0
GCF_000186525.1,469596,0,0,0,0,0,0
GCF_000186545.1,742820,0,0,0,0,0,0
GCF_000186585.1,914127,5007768,0,0,0,0,0
GCF_000186645.1,945555,0,0,0,0,0,0
GCF_000186665.3,945556,3711700,0,0,0,0,0
GCF_000186685.1,888051,0,0,0,0,0,0
GCF_000186705.1,517722,0,0,0,0,0,0
GCF_000186725.1,547048,4709501,0,0,0,0,0
GCF_000186745.1,936156,4093599,0,0,0,0,0
GCF_000186865.1,44056,0,0,0,0,0,0
GCF_000186885.1,577650,3851869,0,0,0,0,0
GCF_000186945.2,706433,0,0,0,0,0,0
GCF_000186965.1,706439,0,0,0,0,0,0
GCF_000186985.1,859194,1155937,0,0,0,0,0
GCF_000187005.1,743525,2355186,0,0,0,0,0
GCF_000187045.1,875329,0,0,0,0,0,0
GCF_000187065.1,875330,0,0,0,0,0,0
GCF_000187105.1,754027,0,0,0,0,0,0
GCF_000187125.1,749551,0,0,0,0,0,0
GCF_000187145.1,754025,0,0,0,0,0,0
GCF_000187165.1,754026,0,0,0,0,0,0
GCF_000187205.2,889738,4153407,0,0,0,0,0
GCF_000187225.1,797209,0,0,0,0,0,0
GCF_000187245.1,871575,0,0,0,0,0,0
GCF_000187265.1,525379,0,0,0,0,0,0
GCF_000187285.1,926026,0,0,0,0,0,0
GCF_000187305.1,926027,0,0,0,0,0,0
GCF_000187325.1,926028,0,0,0,0,0,0
GCF_000187345.1,926029,0,0,0,0,0,0
GCF_000187365.1,926030,0,0,0,0,0,0
GCF_000187385.1,926032,0,0,0,0,0,0
GCF_000187405.1,655827,0,0,0,0,0,0
GCF_000187425.2,655844,0,0,0,0,0,0
GCF_000187445.1,435842,0,0,0,0,0,0
GCF_000187465.1,889204,0,0,0,0,0,0
GCF_000187505.1,888048,0,0,0,0,0,0
GCF_000187565.1,904139,0,0,0,0,0,0
GCF_000187585.1,888746,0,0,0,0,0,0
GCF_000187605.1,710394,0,0,0,0,0,0
GCF_000187625.1,710393,0,0,0,0,0,0
GCF_000187645.1,563036,0,0,0,0,0,0
GCF_000187705.1,741091,5614252,0,0,0,0,0
GCF_000187745.1,563038,0,0,0,0,0,0
GCF_000187785.1,946034,0,0,0,0,0,0
GCF_000187855.1,889201,0,0,0,0,0,0
GCF_000187895.1,484018,4421924,600,19,478534,25,478534
GCF_000187915.1,144034,0,0,0,0,0,0
GCF_000187935.1,873447,0,0,0,0,0,0
GCF_000187955.1,873448,0,0,0,0,0,0
GCF_000187975.2,873449,0,0,0,0,0,0
GCF_000187995.2,764298,0,0,0,0,0,0
GCF_000188015.2,764299,0,0,0,0,0,0
GCF_000188035.1,875093,0,0,0,0,0,0
GCF_000188055.2,764291,0,0,0,0,0,0
GCF_000188075.1,13686,0,0,0,0,0,0
GCF_000188095.1,132113,0,0,0,0,0,0
GCF_000188115.3,4081,0,0,0,0,0,0
GCF_000188155.2,622637,0,0,0,0,0,0
GCF_000188175.1,626939,0,0,0,0,0,0
GCF_000188195.1,762983,0,0,0,0,0,0
GCF_000188215.1,696749,4023106,0,0,0,0,0
GCF_000188255.1,887324,0,0,0,0,0,0
GCF_000188275.1,888825,0,0,0,0,0,0
GCF_000188295.1,889206,0,0,0,0,0,0
GCF_000188315.1,663952,0,0,0,0,0,0
GCF_000188335.1,745015,0,0,0,0,0,0
GCF_000188355.1,745017,0,0,0,0,0,0
GCF_000188375.1,745018,0,0,0,0,0,0
GCF_000188395.1,745019,0,0,0,0,0,0
GCF_000188415.1,745020,0,0,0,0,0,0
GCF_000188435.1,745021,0,0,0,0,0,0
GCF_000188455.1,745022,0,0,0,0,0,0
GCF_000188475.1,749949,0,0,0,0,0,0
GCF_000188495.1,749950,0,0,0,0,0,0
GCF_000188515.1,749951,0,0,0,0,0,0
GCF_000188535.1,763919,0,0,0,0,0,0
GCF_000188555.1,766762,0,0,0,0,0,0
GCF_000188575.1,789332,0,0,0,0,0,0
GCF_000188595.1,858313,0,0,0,0,0,0
GCF_000188615.1,858314,0,0,0,0,0,0
GCF_000188635.1,858315,0,0,0,0,0,0
GCF_000188655.1,858316,0,0,0,0,0,0
GCF_000188695.1,946362,55440309,3736737,154,1519553,3086,34760
GCF_000188715.1,663954,2159491,0,0,0,0,0
GCF_000188735.1,909946,5067451,0,0,0,0,0
GCF_000188775.1,670894,0,0,0,0,0,0
GCF_000188835.1,670904,0,0,0,0,0,0
GCF_000188855.1,670905,0,0,0,0,0,0
GCF_000188875.1,670899,0,0,0,0,0,0
GCF_000188895.1,858317,0,0,0,0,0,0
GCF_000188915.1,858318,0,0,0,0,0,0
GCF_000188935.1,859198,0,0,0,0,0,0
GCF_000188955.2,859199,4694375,0,0,0,0,0
GCF_000188975.1,871586,0,0,0,0,0,0
GCF_000188995.1,871587,0,0,0,0,0,0
GCF_000189015.1,871588,0,0,0,0,0,0
GCF_000189035.1,871589,0,0,0,0,0,0
GCF_000189055.1,871590,0,0,0,0,0,0
